City,Short name city,Country,short name
Danang,DN,Vietnam,VN
Sydney,SYD,Australia,AUD
Melbounrne,MEL,Australia,AUD
Seoul,SEL,Korea,KR
Kyoto,KYO,Japan,JAP
Bankok,BAK,Thailand,THA
Andelaide,AND,Australia,AUD
Ho Chi Minh,HCM,Vietnam,VN
